fold,label,precision,recall,f1,support
0,Climate Change,0.6,0.6,0.6,5
0,Natural Capital,0.0,0.0,0.0,0
0,Pollution & Waste,0.0,0.0,0.0,1
0,Human Capital,0.75,0.5455,0.6316,11
0,Product Liability,0.8148,0.9167,0.8627,24
0,Community Relations,0.0,0.0,0.0,0
0,Corporate Governance,0.75,0.8824,0.8108,17
0,Business Ethics & Values,0.5556,0.4167,0.4762,12
0,Non-ESG,0.8776,0.8776,0.8776,98
1,Climate Change,0.75,0.75,0.75,4
1,Natural Capital,0.0,0.0,0.0,1
1,Pollution & Waste,0.3333,0.5,0.4,2
1,Human Capital,0.8,0.8,0.8,10
1,Product Liability,0.8824,0.7895,0.8333,19
1,Community Relations,0.0,0.0,0.0,1
1,Corporate Governance,0.8571,0.8571,0.8571,14
1,Business Ethics & Values,0.5,0.6,0.5455,5
1,Non-ESG,0.9018,0.9182,0.9099,110
2,Climate Change,0.6667,0.6667,0.6667,9
2,Natural Capital,0.0,0.0,0.0,1
2,Pollution & Waste,1.0,0.25,0.4,4
2,Human Capital,0.7143,0.5,0.5882,10
2,Product Liability,0.85,0.8095,0.8293,21
2,Community Relations,0.0,0.0,0.0,0
2,Corporate Governance,0.2222,0.5,0.3077,4
2,Business Ethics & Values,0.7143,0.5556,0.625,9
2,Non-ESG,0.8482,0.8879,0.8676,107
