fold,label,precision,recall,f1,support
0,Climate Change,0.5714,0.8,0.6667,5
0,Natural Capital,0.0,0.0,0.0,0
0,Pollution & Waste,1.0,1.0,1.0,1
0,Human Capital,0.4545,0.9091,0.6061,11
0,Product Liability,0.6216,0.9583,0.7541,24
0,Community Relations,0.0,0.0,0.0,0
0,Corporate Governance,0.5714,0.9412,0.7111,17
0,Business Ethics & Values,0.5,0.4167,0.4545,12
0,Non-ESG,0.9636,0.5408,0.6928,98
1,Climate Change,0.8,1.0,0.8889,4
1,Natural Capital,0.0,0.0,0.0,1
1,Pollution & Waste,0.3333,0.5,0.4,2
1,Human Capital,0.4167,1.0,0.5882,10
1,Product Liability,0.5862,0.8947,0.7083,19
1,Community Relations,0.0,0.0,0.0,1
1,Corporate Governance,0.5238,0.7857,0.6286,14
1,Business Ethics & Values,0.2727,0.6,0.375,5
1,Non-ESG,0.9394,0.5636,0.7045,110
2,Climate Change,0.5625,1.0,0.72,9
2,Natural Capital,0.0,0.0,0.0,1
2,Pollution & Waste,0.8,1.0,0.8889,4
2,Human Capital,0.4348,1.0,0.6061,10
2,Product Liability,0.7037,0.9048,0.7917,21
2,Community Relations,0.0,0.0,0.0,0
2,Corporate Governance,0.1818,0.5,0.2667,4
2,Business Ethics & Values,0.5455,0.6667,0.6,9
2,Non-ESG,0.9851,0.6168,0.7586,107
